"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Massachusetts"	"25"	"2005"	"2005"	480	6403290	7.50	7.25
	"Massachusetts"	"25"	"2006"	"2006"	450	6410084	7.02	6.70
	"Massachusetts"	"25"	"2007"	"2007"	516	6431559	8.02	7.70
	"Massachusetts"	"25"	"2008"	"2008"	509	6468967	7.87	7.54
	"Massachusetts"	"25"	"2009"	"2009"	530	6517613	8.13	7.78
	"Massachusetts"	"25"	"2010"	"2010"	598	6547629	9.13	8.78
	"Massachusetts"	"25"	"2011"	"2011"	585	6611923	8.85	8.37
	"Massachusetts"	"25"	"2012"	"2012"	604	6658008	9.07	8.65
	"Massachusetts"	"25"	"2013"	"2013"	572	6706786	8.53	8.16
	"Massachusetts"	"25"	"2014"	"2014"	596	6749911	8.83	8.24
	"Massachusetts"	"25"	"2015"	"2015"	642	6784240	9.46	8.93
	"Massachusetts"	"25"	"2016"	"2016"	631	6811779	9.26	8.76
	"Michigan"	"26"	"1999"	"1999"	974	9897116	9.84	9.88
	"Michigan"	"26"	"2000"	"2000"	974	9938444	9.80	9.85
	"Michigan"	"26"	"2001"	"2001"	1051	9991120	10.52	10.54
	"Michigan"	"26"	"2002"	"2002"	1106	10015710	11.04	11.06
	"Michigan"	"26"	"2003"	"2003"	1029	10041152	10.25	10.24
	"Michigan"	"26"	"2004"	"2004"	1098	10055315	10.92	10.87
	"Michigan"	"26"	"2005"	"2005"	1108	10051137	11.02	10.97
	"Michigan"	"26"	"2006"	"2006"	1139	10036081	11.35	11.19
	"Michigan"	"26"	"2007"	"2007"	1131	10001284	11.31	11.10
	"Michigan"	"26"	"2008"	"2008"	1180	9946889	11.86	11.75
	"Michigan"	"26"	"2009"	"2009"	1169	9901591	11.81	11.47
	"Michigan"	"26"	"2010"	"2010"	1263	9883640	12.78	12.50
	"Michigan"	"26"	"2011"	"2011"	1221	9876213	12.36	12.20
	"Michigan"	"26"	"2012"	"2012"	1261	9887238	12.75	12.49
	"Michigan"	"26"	"2013"	"2013"	1295	9898982	13.08	12.87
	"Michigan"	"26"	"2014"	"2014"	1354	9915767	13.66	13.28
	"Michigan"	"26"	"2015"	"2015"	1410	9917715	14.22	13.81
	"Michigan"	"26"	"2016"	"2016"	1364	9928300	13.74	13.30
	"Minnesota"	"27"	"1999"	"1999"	437	4873481	8.97	8.97
	"Minnesota"	"27"	"2000"	"2000"	440	4919479	8.94	8.90
	"Minnesota"	"27"	"2001"	"2001"	480	4982796	9.63	9.60
	"Minnesota"	"27"	"2002"	"2002"	497	5018935	9.90	9.82
	"Minnesota"	"27"	"2003"	"2003"	497	5053572	9.83	9.77
	"Minnesota"	"27"	"2004"	"2004"	524	5087713	10.30	10.18
	"Minnesota"	"27"	"2005"	"2005"	547	5119598	10.68	10.48
	"Minnesota"	"27"	"2006"	"2006"	554	5163555	10.73	10.62
	"Minnesota"	"27"	"2007"	"2007"	572	5207203	10.98	10.82
	"Minnesota"	"27"	"2008"	"2008"	596	5247018	11.36	11.16
	"Minnesota"	"27"	"2009"	"2009"	584	5281203	11.06	10.80
	"Minnesota"	"27"	"2010"	"2010"	606	5303925	11.43	11.21
	"Minnesota"	"27"	"2011"	"2011"	683	5348562	12.77	12.47
	"Minnesota"	"27"	"2012"	"2012"	656	5380285	12.19	11.99
	"Minnesota"	"27"	"2013"	"2013"	678	5418521	12.51	12.10
	"Minnesota"	"27"	"2014"	"2014"	686	5453109	12.58	12.26
	"Minnesota"	"27"	"2015"	"2015"	730	5482435	13.32	13.21
	"Minnesota"	"27"	"2016"	"2016"	745	5519952	13.50	13.20
	"Mississippi"	"28"	"1999"	"1999"	304	2828408	10.75	11.02
	"Mississippi"	"28"	"2000"	"2000"	294	2844658	10.34	10.50
	"Mississippi"	"28"	"2001"	"2001"	328	2852994	11.50	11.73
	"Mississippi"	"28"	"2002"	"2002"	343	2858681	12.00	12.19
	"Mississippi"	"28"	"2003"	"2003"	336	2868312	11.71	11.92
	"Mississippi"	"28"	"2004"	"2004"	350	2889010	12.11	12.19
	"Mississippi"	"28"	"2005"	"2005"	363	2905943	12.49	12.74
	"Mississippi"	"28"	"2006"	"2006"	325	2904978	11.19	11.43
	"Mississippi"	"28"	"2007"	"2007"	396	2928350	13.52	13.62
	"Mississippi"	"28"	"2008"	"2008"	409	2947806	13.87	13.88
	"Mississippi"	"28"	"2009"	"2009"	381	2958774	12.88	13.06
	"Mississippi"	"28"	"2010"	"2010"	388	2967297	13.08	12.96
	"Mississippi"	"28"	"2011"	"2011"	389	2978162	13.06	13.08
	"Mississippi"	"28"	"2012"	"2012"	410	2984945	13.74	13.99
	"Mississippi"	"28"	"2013"	"2013"	388	2990482	12.97	13.02
	"Mississippi"	"28"	"2014"	"2014"	380	2992400	12.70	12.51
	"Mississippi"	"28"	"2015"	"2015"	431	2989390	14.42	14.03
	"Mississippi"	"28"	"2016"	"2016"	383	2988726	12.81	12.67
	"Missouri"	"29"	"1999"	"1999"	700	5561948	12.59	12.54
	"Missouri"	"29"	"2000"	"2000"	699	5595211	12.49	12.47
	"Missouri"	"29"	"2001"	"2001"	725	5641142	12.85	12.78
	"Missouri"	"29"	"2002"	"2002"	693	5674825	12.21	12.14
	"Missouri"	"29"	"2003"	"2003"	679	5709403	11.89	11.81
	"Missouri"	"29"	"2004"	"2004"	715	5747741	12.44	12.39
	"Missouri"	"29"	"2005"	"2005"	727	5790300	12.56	12.50
	"Missouri"	"29"	"2006"	"2006"	799	5842704	13.68	13.53
	"Missouri"	"29"	"2007"	"2007"	808	5887612	13.72	13.54
	"Missouri"	"29"	"2008"	"2008"	779	5923916	13.15	12.95
	"Missouri"	"29"	"2009"	"2009"	860	5961088	14.43	14.27
	"Missouri"	"29"	"2010"	"2010"	856	5988927	14.29	14.05
	"Missouri"	"29"	"2011"	"2011"	933	6010717	15.52	15.30
	"Missouri"	"29"	"2012"	"2012"	914	6025415	15.17	14.89
	"Missouri"	"29"	"2013"	"2013"	960	6042711	15.89	15.65
	"Missouri"	"29"	"2014"	"2014"	1017	6060930	16.78	16.34
	"Missouri"	"29"	"2015"	"2015"	1052	6076204	17.31	17.11
	"Missouri"	"29"	"2016"	"2016"	1133	6093000	18.60	18.34
	"Montana"	"30"	"1999"	"1999"	162	897507	18.05	17.69
	"Montana"	"30"	"2000"	"2000"	158	902195	17.51	17.51
	"Montana"	"30"	"2001"	"2001"	175	906961	19.30	19.27
	"Montana"	"30"	"2002"	"2002"	184	911667	20.18	19.99
	"Montana"	"30"	"2003"	"2003"	180	919630	19.57	19.44
	"Montana"	"30"	"2004"	"2004"	175	930009	18.82	18.79
	"Montana"	"30"	"2005"	"2005"	206	940102	21.91	21.74
	"Montana"	"30"	"2006"	"2006"	189	952692	19.84	19.69
	"Montana"	"30"	"2007"	"2007"	196	964706	20.32	19.38
	"Montana"	"30"	"2008"	"2008"	203	976415	20.79	20.59
	"Montana"	"30"	"2009"	"2009"	219	983982	22.26	21.19
	"Montana"	"30"	"2010"	"2010"	227	989415	22.94	21.75
	"Montana"	"30"	"2011"	"2011"	232	997821	23.25	22.58
	"Montana"	"30"	"2012"	"2012"	233	1005196	23.18	22.63
	"Montana"	"30"	"2013"	"2013"	243	1014314	23.96	23.76
	"Montana"	"30"	"2014"	"2014"	251	1022867	24.54	23.93
	"Montana"	"30"	"2015"	"2015"	272	1032073	26.35	25.35
	"Montana"	"30"	"2016"	"2016"	267	1042520	25.61	25.91
	"Nebraska"	"31"	"1999"	"1999"	177	1704764	10.38	10.49
	"Nebraska"	"31"	"2000"	"2000"	193	1711263	11.28	11.27
	"Nebraska"	"31"	"2001"	"2001"	187	1719836	10.87	10.93
	"Nebraska"	"31"	"2002"	"2002"	201	1728292	11.63	11.76
	"Nebraska"	"31"	"2003"	"2003"	176	1738643	10.12	10.15
	"Nebraska"	"31"	"2004"	"2004"	166	1749370	9.49	9.51
	"Nebraska"	"31"	"2005"	"2005"	187	1761497	10.62	10.85
	"Nebraska"	"31"	"2006"	"2006"	202	1772693	11.40	11.17
	"Nebraska"	"31"	"2007"	"2007"	181	1783440	10.15	10.15
	"Nebraska"	"31"	"2008"	"2008"	191	1796378	10.63	10.59
	"Nebraska"	"31"	"2009"	"2009"	170	1812683	9.38	9.30
	"Nebraska"	"31"	"2010"	"2010"	193	1826341	10.57	10.42
	"Nebraska"	"31"	"2011"	"2011"	193	1842283	10.48	10.54
	"Nebraska"	"31"	"2012"	"2012"	232	1855725	12.50	12.48
	"Nebraska"	"31"	"2013"	"2013"	220	1868559	11.77	11.65
	"Nebraska"	"31"	"2014"	"2014"	251	1881145	13.34	13.41
	"Nebraska"	"31"	"2015"	"2015"	223	1893765	11.78	11.78
	"Nebraska"	"31"	"2016"	"2016"	246	1907116	12.90	13.04
	"Nevada"	"32"	"1999"	"1999"	404	1934718	20.88	21.28
	"Nevada"	"32"	"2000"	"2000"	400	1998257	20.02	20.18
	"Nevada"	"32"	"2001"	"2001"	387	2098399	18.44	18.65
	"Nevada"	"32"	"2002"	"2002"	423	2173791	19.46	19.64
	"Nevada"	"32"	"2003"	"2003"	434	2248850	19.30	19.85
	"Nevada"	"32"	"2004"	"2004"	440	2346222	18.75	18.92
	"Nevada"	"32"	"2005"	"2005"	480	2432143	19.74	19.78
	"Nevada"	"32"	"2006"	"2006"	486	2522658	19.27	19.30
	"Nevada"	"32"	"2007"	"2007"	471	2601072	18.11	18.02
	"Nevada"	"32"	"2008"	"2008"	528	2653630	19.90	19.70
	"Nevada"	"32"	"2009"	"2009"	505	2684665	18.81	18.69
	"Nevada"	"32"	"2010"	"2010"	547	2700551	20.26	19.80
	"Nevada"	"32"	"2011"	"2011"	516	2718379	18.98	18.41
	"Nevada"	"32"	"2012"	"2012"	524	2752565	19.04	18.23
	"Nevada"	"32"	"2013"	"2013"	541	2786464	19.42	18.62
	"Nevada"	"32"	"2014"	"2014"	573	2833013	20.23	19.58
	"Nevada"	"32"	"2015"	"2015"	558	2883758	19.35	18.49
	"Nevada"	"32"	"2016"	"2016"	650	2940058	22.11	21.38
	"New Hampshire"	"33"	"1999"	"1999"	137	1222014	11.21	11.19
	"New Hampshire"	"33"	"2000"	"2000"	131	1235786	10.60	10.33
	"New Hampshire"	"33"	"2001"	"2001"	167	1255517	13.30	13.15
	"New Hampshire"	"33"	"2002"	"2002"	132	1269089	10.40	10.26
	"New Hampshire"	"33"	"2003"	"2003"	158	1279840	12.35	12.02
	"New Hampshire"	"33"	"2004"	"2004"	133	1290121	10.31	9.90
	"New Hampshire"	"33"	"2005"	"2005"	162	1298492	12.48	12.00
	"New Hampshire"	"33"	"2006"	"2006"	151	1308389	11.54	11.22
	"New Hampshire"	"33"	"2007"	"2007"	158	1312540	12.04	11.15
	"New Hampshire"	"33"	"2008"	"2008"	179	1315906	13.60	13.13
	"New Hampshire"	"33"	"2009"	"2009"	166	1316102	12.61	11.84
	"New Hampshire"	"33"	"2010"	"2010"	196	1316470	14.89	14.06
	"New Hampshire"	"33"	"2011"	"2011"	198	1318473	15.02	13.76
	"New Hampshire"	"33"	"2012"	"2012"	202	1321182	15.29	14.13
	"New Hampshire"	"33"	"2013"	"2013"	185	1322687	13.99	12.79
	"New Hampshire"	"33"	"2014"	"2014"	247	1328743	18.59	17.78
	"New Hampshire"	"33"	"2015"	"2015"	228	1330111	17.14	16.51
	"New Hampshire"	"33"	"2016"	"2016"	244	1334795	18.28	17.24
	"New Jersey"	"34"	"1999"	"1999"	563	8359592	6.73	6.61
	"New Jersey"	"34"	"2000"	"2000"	560	8414350	6.66	6.56
	"New Jersey"	"34"	"2001"	"2001"	588	8492671	6.92	6.80
	"New Jersey"	"34"	"2002"	"2002"	553	8552643	6.47	6.30
	"New Jersey"	"34"	"2003"	"2003"	588	8601402	6.84	6.67
	"New Jersey"	"34"	"2004"	"2004"	597	8634561	6.91	6.81
	"New Jersey"	"34"	"2005"	"2005"	536	8651974	6.20	6.07
	"New Jersey"	"34"	"2006"	"2006"	585	8661679	6.75	6.54
	"New Jersey"	"34"	"2007"	"2007"	596	8677885	6.87	6.67
	"New Jersey"	"34"	"2008"	"2008"	615	8711090	7.06	6.80
	"New Jersey"	"34"	"2009"	"2009"	557	8755602	6.36	6.14
	"New Jersey"	"34"	"2010"	"2010"	719	8791894	8.18	7.76
	"New Jersey"	"34"	"2011"	"2011"	689	8841243	7.79	7.48
	"New Jersey"	"34"	"2012"	"2012"	683	8873211	7.70	7.40
	"New Jersey"	"34"	"2013"	"2013"	757	8899162	8.51	8.04
	"New Jersey"	"34"	"2014"	"2014"	786	8925001	8.81	8.36
	"New Jersey"	"34"	"2015"	"2015"	789	8935421	8.83	8.33
	"New Jersey"	"34"	"2016"	"2016"	687	8944469	7.68	7.20
	"New Mexico"	"35"	"1999"	"1999"	318	1808082	17.59	18.05
	"New Mexico"	"35"	"2000"	"2000"	327	1819046	17.98	18.31
	"New Mexico"	"35"	"2001"	"2001"	362	1831690	19.76	20.24
	"New Mexico"	"35"	"2002"	"2002"	349	1855309	18.81	19.15
	"New Mexico"	"35"	"2003"	"2003"	343	1877574	18.27	18.61
	"New Mexico"	"35"	"2004"	"2004"	356	1903808	18.70	18.79
	"New Mexico"	"35"	"2005"	"2005"	342	1932274	17.70	17.76
	"New Mexico"	"35"	"2006"	"2006"	352	1962137	17.94	17.92
	"New Mexico"	"35"	"2007"	"2007"	401	1990070	20.15	20.28
	"New Mexico"	"35"	"2008"	"2008"	419	2010662	20.84	20.85
	"New Mexico"	"35"	"2009"	"2009"	376	2036802	18.46	18.24
	"New Mexico"	"35"	"2010"	"2010"	413	2059179	20.06	20.14
	"New Mexico"	"35"	"2011"	"2011"	420	2077756	20.21	20.36
	"New Mexico"	"35"	"2012"	"2012"	442	2083784	21.21	21.33
	"New Mexico"	"35"	"2013"	"2013"	431	2085193	20.67	20.29
	"New Mexico"	"35"	"2014"	"2014"	449	2083024	21.56	21.04
	"New Mexico"	"35"	"2015"	"2015"	500	2080328	24.03	23.81
	"New Mexico"	"35"	"2016"	"2016"	471	2081015	22.63	22.49
	"New York"	"36"	"1999"	"1999"	1196	18882725	6.33	6.26
	"New York"	"36"	"2000"	"2000"	1132	18976457	5.97	5.91
	"New York"	"36"	"2001"	"2001"	1253	19082838	6.57	6.48
	"New York"	"36"	"2002"	"2002"	1228	19137800	6.42	6.32
	"New York"	"36"	"2003"	"2003"	1169	19175939	6.10	5.95
	"New York"	"36"	"2004"	"2004"	1187	19171567	6.19	6.04
	"New York"	"36"	"2005"	"2005"	1189	19132610	6.21	6.03
	"New York"	"36"	"2006"	"2006"	1326	19104631	6.94	6.70
	"New York"	"36"	"2007"	"2007"	1396	19132335	7.30	7.04
	"New York"	"36"	"2008"	"2008"	1409	19212436	7.33	7.08
	"New York"	"36"	"2009"	"2009"	1417	19307066	7.34	7.01
	"New York"	"36"	"2010"	"2010"	1547	19378102	7.98	7.65
	"New York"	"36"	"2011"	"2011"	1658	19519529	8.49	8.13
	"New York"	"36"	"2012"	"2012"	1708	19602769	8.71	8.26
	"New York"	"36"	"2013"	"2013"	1687	19673546	8.57	8.11
	"New York"	"36"	"2014"	"2014"	1700	19718515	8.62	8.13
	"New York"	"36"	"2015"	"2015"	1652	19747183	8.37	7.88
	"New York"	"36"	"2016"	"2016"	1679	19745289	8.50	8.10
	"North Carolina"	"37"	"1999"	"1999"	884	7949361	11.12	11.00
	"North Carolina"	"37"	"2000"	"2000"	971	8049313	12.06	11.98
	"North Carolina"	"37"	"2001"	"2001"	997	8210122	12.14	12.05
	"North Carolina"	"37"	"2002"	"2002"	986	8326201	11.84	11.74
	"North Carolina"	"37"	"2003"	"2003"	955	8422501	11.34	11.22
	"North Carolina"	"37"	"2004"	"2004"	1027	8553152	12.01	11.92
	"North Carolina"	"37"	"2005"	"2005"	1009	8705407	11.59	11.45
	"North Carolina"	"37"	"2006"	"2006"	1106	8917270	12.40	12.17
	"North Carolina"	"37"	"2007"	"2007"	1077	9118037	11.81	11.61
	"North Carolina"	"37"	"2008"	"2008"	1162	9309449	12.48	12.27
	"North Carolina"	"37"	"2009"	"2009"	1174	9449566	12.42	12.21
	"North Carolina"	"37"	"2010"	"2010"	1174	9535483	12.31	12.01
	"North Carolina"	"37"	"2011"	"2011"	1213	9650963	12.57	12.28
	"North Carolina"	"37"	"2012"	"2012"	1286	9746175	13.19	12.71
	"North Carolina"	"37"	"2013"	"2013"	1284	9841590	13.05	12.57
	"North Carolina"	"37"	"2014"	"2014"	1352	9934399	13.61	13.05
	"North Carolina"	"37"	"2015"	"2015"	1406	10035186	14.01	13.41
	"North Carolina"	"37"	"2016"	"2016"	1373	10146788	13.53	13.02
	"North Dakota"	"38"	"1999"	"1999"	73	644259	11.33	11.05
	"North Dakota"	"38"	"2000"	"2000"	68	642200	10.59	10.41
	"North Dakota"	"38"	"2001"	"2001"	79	639062	12.36	12.73
	"North Dakota"	"38"	"2002"	"2002"	91	638168	14.26	14.27
	"North Dakota"	"38"	"2003"	"2003"	81	638817	12.68	12.31
	"North Dakota"	"38"	"2004"	"2004"	73	644705	11.32	11.14
	"North Dakota"	"38"	"2005"	"2005"	92	646089	14.24	13.66
	"North Dakota"	"38"	"2006"	"2006"	90	649422	13.86	13.32
	"North Dakota"	"38"	"2007"	"2007"	95	652822	14.55	14.17
	"North Dakota"	"38"	"2008"	"2008"	86	657569	13.08	13.10
	"North Dakota"	"38"	"2009"	"2009"	90	664968	13.53	13.86
	"North Dakota"	"38"	"2010"	"2010"	106	672591	15.76	15.62
	"North Dakota"	"38"	"2011"	"2011"	106	685476	15.46	14.87
	"North Dakota"	"38"	"2012"	"2012"	105	702087	14.96	15.17
	"North Dakota"	"38"	"2013"	"2013"	128	724019	17.68	17.30
	"North Dakota"	"38"	"2014"	"2014"	137	739904	18.52	17.77
	"North Dakota"	"38"	"2015"	"2015"	124	756835	16.38	17.44
	"North Dakota"	"38"	"2016"	"2016"	140	757952	18.47	18.99
	"Ohio"	"39"	"1999"	"1999"	1102	11335454	9.72	9.67
	"Ohio"	"39"	"2000"	"2000"	1088	11353140	9.58	9.53
	"Ohio"	"39"	"2001"	"2001"	1219	11387404	10.70	10.62
	"Ohio"	"39"	"2002"	"2002"	1287	11407889	11.28	11.19
	"Ohio"	"39"	"2003"	"2003"	1074	11434788	9.39	9.32
	"Ohio"	"39"	"2004"	"2004"	1319	11452251	11.52	11.36
	"Ohio"	"39"	"2005"	"2005"	1341	11463320	11.70	11.50
	"Ohio"	"39"	"2006"	"2006"	1325	11481213	11.54	11.28
	"Ohio"	"39"	"2007"	"2007"	1295	11500468	11.26	11.05
	"Ohio"	"39"	"2008"	"2008"	1412	11515391	12.26	12.15
	"Ohio"	"39"	"2009"	"2009"	1176	11528896	10.20	9.99
	"Ohio"	"39"	"2010"	"2010"	1439	11536504	12.47	12.24
	"Ohio"	"39"	"2011"	"2011"	1465	11544824	12.69	12.34
	"Ohio"	"39"	"2012"	"2012"	1542	11550839	13.35	13.00
	"Ohio"	"39"	"2013"	"2013"	1526	11570022	13.19	12.86
	"Ohio"	"39"	"2014"	"2014"	1491	11594408	12.86	12.58
	"Ohio"	"39"	"2015"	"2015"	1650	11605090	14.22	13.91
	"Ohio"	"39"	"2016"	"2016"	1707	11614373	14.70	14.14
	"Oklahoma"	"40"	"1999"	"1999"	492	3437147	14.31	14.43
	"Oklahoma"	"40"	"2000"	"2000"	497	3450654	14.40	14.56
	"Oklahoma"	"40"	"2001"	"2001"	515	3467100	14.85	14.88
	"Oklahoma"	"40"	"2002"	"2002"	501	3489080	14.36	14.40
	"Oklahoma"	"40"	"2003"	"2003"	476	3504892	13.58	13.65
	"Oklahoma"	"40"	"2004"	"2004"	506	3525233	14.35	14.43
	"Oklahoma"	"40"	"2005"	"2005"	522	3548597	14.71	14.83
	"Oklahoma"	"40"	"2006"	"2006"	537	3594090	14.94	14.98
	"Oklahoma"	"40"	"2007"	"2007"	531	3634349	14.61	14.68
	"Oklahoma"	"40"	"2008"	"2008"	575	3668976	15.67	15.67
	"Oklahoma"	"40"	"2009"	"2009"	567	3717572	15.25	15.26
	"Oklahoma"	"40"	"2010"	"2010"	618	3751351	16.47	16.50
	"Oklahoma"	"40"	"2011"	"2011"	693	3786274	18.30	18.48
	"Oklahoma"	"40"	"2012"	"2012"	670	3817054	17.55	17.62
	"Oklahoma"	"40"	"2013"	"2013"	665	3852415	17.26	17.20
	"Oklahoma"	"40"	"2014"	"2014"	736	3877499	18.98	19.09
	"Oklahoma"	"40"	"2015"	"2015"	790	3907414	20.22	20.34
	"Oklahoma"	"40"	"2016"	"2016"	822	3923561	20.95	21.02
	"Oregon"	"41"	"1999"	"1999"	478	3393941	14.08	13.88
	"Oregon"	"41"	"2000"	"2000"	493	3421399	14.41	14.13
	"Oregon"	"41"	"2001"	"2001"	505	3467937	14.56	14.36
	"Oregon"	"41"	"2002"	"2002"	518	3513424	14.74	14.43
	"Oregon"	"41"	"2003"	"2003"	592	3547376	16.69	16.21
	"Oregon"	"41"	"2004"	"2004"	555	3569463	15.55	15.06
	"Oregon"	"41"	"2005"	"2005"	560	3613202	15.50	14.93
	"Oregon"	"41"	"2006"	"2006"	579	3670883	15.77	15.30
	"Oregon"	"41"	"2007"	"2007"	594	3722417	15.96	15.31
	"Oregon"	"41"	"2008"	"2008"	572	3768748	15.18	14.54
	"Oregon"	"41"	"2009"	"2009"	644	3808600	16.91	16.19
	"Oregon"	"41"	"2010"	"2010"	685	3831074	17.88	17.13
	"Oregon"	"41"	"2011"	"2011"	656	3868031	16.96	16.60
	"Oregon"	"41"	"2012"	"2012"	724	3899116	18.57	17.81
	"Oregon"	"41"	"2013"	"2013"	698	3925751	17.78	16.85
	"Oregon"	"41"	"2014"	"2014"	782	3968371	19.71	18.65
	"Oregon"	"41"	"2015"	"2015"	762	4024634	18.93	17.81
	"Oregon"	"41"	"2016"	"2016"	772	4093465	18.86	17.86
	"Pennsylvania"	"42"	"1999"	"1999"	1284	12263805	10.47	10.27
	"Pennsylvania"	"42"	"2000"	"2000"	1356	12281054	11.04	10.78
	"Pennsylvania"	"42"	"2001"	"2001"	1276	12298970	10.37	10.15
	"Pennsylvania"	"42"	"2002"	"2002"	1341	12331031	10.88	10.69
	"Pennsylvania"	"42"	"2003"	"2003"	1340	12374658	10.83	10.54
	"Pennsylvania"	"42"	"2004"	"2004"	1410	12410722	11.36	11.06
	"Pennsylvania"	"42"	"2005"	"2005"	1430	12449990	11.49	11.11
	"Pennsylvania"	"42"	"2006"	"2006"	1396	12510809	11.16	10.80
	"Pennsylvania"	"42"	"2007"	"2007"	1441	12563937	11.47	11.07
	"Pennsylvania"	"42"	"2008"	"2008"	1539	12612285	12.20	11.79
	"Pennsylvania"	"42"	"2009"	"2009"	1631	12666858	12.88	12.20
	"Pennsylvania"	"42"	"2010"	"2010"	1576	12702379	12.41	11.89
	"Pennsylvania"	"42"	"2011"	"2011"	1747	12744293	13.71	13.18
	"Pennsylvania"	"42"	"2012"	"2012"	1647	12771854	12.90	12.38
	"Pennsylvania"	"42"	"2013"	"2013"	1788	12781338	13.99	13.36
	"Pennsylvania"	"42"	"2014"	"2014"	1817	12790565	14.21	13.31
	"Pennsylvania"	"42"	"2015"	"2015"	1894	12791904	14.81	13.99
	"Pennsylvania"	"42"	"2016"	"2016"	1970	12784227	15.41	14.68
	"Rhode Island"	"44"	"1999"	"1999"	96	1040402	9.23	9.06
	"Rhode Island"	"44"	"2000"	"2000"	75	1048319	7.15	7.05
	"Rhode Island"	"44"	"2001"	"2001"	88	1057142	8.32	8.08
	"Rhode Island"	"44"	"2002"	"2002"	86	1065995	8.07	7.96
	"Rhode Island"	"44"	"2003"	"2003"	84	1071342	7.84	7.70
	"Rhode Island"	"44"	"2004"	"2004"	85	1074579	7.91	7.59
	"Rhode Island"	"44"	"2005"	"2005"	71	1067916	6.65	6.30
	"Rhode Island"	"44"	"2006"	"2006"	90	1063096	8.47	8.19
	"Rhode Island"	"44"	"2007"	"2007"	96	1057315	9.08	8.78
	"Rhode Island"	"44"	"2008"	"2008"	110	1055003	10.43	9.95
	"Rhode Island"	"44"	"2009"	"2009"	118	1053646	11.20	10.75
	"Rhode Island"	"44"	"2010"	"2010"	129	1052567	12.26	12.33
	"Rhode Island"	"44"	"2011"	"2011"	101	1052451	9.60	8.88
	"Rhode Island"	"44"	"2012"	"2012"	105	1052901	9.97	9.44
	"Rhode Island"	"44"	"2013"	"2013"	132	1053033	12.54	12.13
	"Rhode Island"	"44"	"2014"	"2014"	113	1054480	10.72	10.05
	"Rhode Island"	"44"	"2015"	"2015"	127	1055607	12.03	11.21
	"Rhode Island"	"44"	"2016"	"2016"	126	1056426	11.93	11.19
	"South Carolina"	"45"	"1999"	"1999"	418	3974682	10.52	10.50
	"South Carolina"	"45"	"2000"	"2000"	443	4012012	11.04	11.07
	"South Carolina"	"45"	"2001"	"2001"	467	4064995	11.49	11.40
	"South Carolina"	"45"	"2002"	"2002"	440	4107795	10.71	10.75
	"South Carolina"	"45"	"2003"	"2003"	476	4150297	11.47	11.46
	"South Carolina"	"45"	"2004"	"2004"	482	4210921	11.45	11.29
	"South Carolina"	"45"	"2005"	"2005"	510	4270150	11.94	11.81
	"South Carolina"	"45"	"2006"	"2006"	524	4357847	12.02	11.80
	"South Carolina"	"45"	"2007"	"2007"	530	4444110	11.93	11.62
	"South Carolina"	"45"	"2008"	"2008"	565	4528996	12.48	12.00
	"South Carolina"	"45"	"2009"	"2009"	619	4589872	13.49	13.03
	"South Carolina"	"45"	"2010"	"2010"	637	4625364	13.77	13.45
	"South Carolina"	"45"	"2011"	"2011"	658	4672637	14.08	13.59
	"South Carolina"	"45"	"2012"	"2012"	673	4720760	14.26	13.69
	"South Carolina"	"45"	"2013"	"2013"	696	4767894	14.60	13.99
	"South Carolina"	"45"	"2014"	"2014"	753	4828430	15.60	15.16
	"South Carolina"	"45"	"2015"	"2015"	742	4894834	15.16	14.85
	"South Carolina"	"45"	"2016"	"2016"	815	4961119	16.43	15.69
	"South Dakota"	"46"	"1999"	"1999"	103	750412	13.73	13.70
	"South Dakota"	"46"	"2000"	"2000"	95	754844	12.59	12.69
	"South Dakota"	"46"	"2001"	"2001"	105	757972	13.85	13.97
	"South Dakota"	"46"	"2002"	"2002"	94	760020	12.37	12.29
	"South Dakota"	"46"	"2003"	"2003"	102	763729	13.36	13.52
	"South Dakota"	"46"	"2004"	"2004"	112	770396	14.54	14.81
	"South Dakota"	"46"	"2005"	"2005"	121	775493	15.60	15.42
	"South Dakota"	"46"	"2006"	"2006"	125	783033	15.96	16.03
	"South Dakota"	"46"	"2007"	"2007"	102	791623	12.88	12.54
	"South Dakota"	"46"	"2008"	"2008"	124	799124	15.52	15.72
	"South Dakota"	"46"	"2009"	"2009"	129	807067	15.98	16.33
	"South Dakota"	"46"	"2010"	"2010"	140	814180	17.20	17.46
	"South Dakota"	"46"	"2011"	"2011"	128	824398	15.53	15.66
	"South Dakota"	"46"	"2012"	"2012"	141	834441	16.90	16.80
	"South Dakota"	"46"	"2013"	"2013"	147	844922	17.40	18.04
	"South Dakota"	"46"	"2014"	"2014"	141	852561	16.54	17.10
	"South Dakota"	"46"	"2015"	"2015"	173	857919	20.17	20.46
	"South Dakota"	"46"	"2016"	"2016"	163	865454	18.83	20.22
	"Tennessee"	"47"	"1999"	"1999"	726	5638706	12.88	12.69
	"Tennessee"	"47"	"2000"	"2000"	730	5689283	12.83	12.73
	"Tennessee"	"47"	"2001"	"2001"	711	5750789	12.36	12.22
	"Tennessee"	"47"	"2002"	"2002"	778	5795918	13.42	13.27
	"Tennessee"	"47"	"2003"	"2003"	762	5847812	13.03	12.86
	"Tennessee"	"47"	"2004"	"2004"	792	5910809	13.40	13.17
